Numero_Processo;Numero_Registro_Oferta;Tipo_Oferta;Tipo_Ativo;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Nome_Vendedor;CNPJ_Ofertante;Nome_Ofertante;Rito_Oferta;Modalidade_Oferta;Modalidade_Registro;Modalidade_Dispensa_Registro;Data_Abertura_Processo;Data_Protocolo;Data_Dispensa_Oferta;Data_Registro_Oferta;Data_Inicio_Oferta;Data_Encerramento_Oferta;Emissao;Classe_Ativo;Serie;Especie_Ativo;Forma_Ativo;Data_Emissao;Data_Vencimento;Quantidade_Sem_Lote_Suplementar;Quantidade_No_Lote_Suplementar;Quantidade_Total;Preco_Unitario;Valor_Total;Oferta_Inicial;Oferta_Incentivo_Fiscal;Oferta_Regime_Fiduciario;Tipo_Societario_Emissor;Ultimo_Comunicado;Data_Comunicado;Nr_Pessoa_Fisica;Qtd_Pessoa_Fisica;Nr_Clube_Investimento;Qtd_Clube_Investimento;Nr_Fundos_Investimento;Qtd_Fundos_Investimento;Nr_Entidade_Previdencia_Privada;Qtd_Entidade_Previdencia_Privada;Nr_Companhia_Seguradora;Qtd_Companhia_Seguradora;Nr_Investidor_Estrangeiro;Qtd_Investidor_Estrangeiro;Nr_Instit_Intermed_Partic_Consorcio_Distrib;Qtd_Instit_Intermed_Partic_Consorcio_Distrib;Nr_Instit_Financ_Emissora_Partic_Consorcio;Qtd_Instit_Financ_Emissora_Partic_Consorcio;Nr_Demais_Instit_Financ;Qtd_Demais_Instit_Financ;Nr_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtd_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Nr_Demais_Pessoa_Juridica;Qtd_Demais_Pessoa_Juridica;Nr_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdt_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Nr_Outros;Qtd_Outros;Qtd_Cli_Pessoa_Fisica;Qtd_Cli_Pessoa_Juridica;Qtd_Cli_Pessoa_Juridica_Ligada_Adm;QtD_Cli_Demais_Pessoa_Juridica;Qtd_Cli_Investidor_Estrangeiro;Qtd_Cli_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
RJ-1997-2615;CVM/SRE/RFI/1998/007;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;INCORPORAÇOES BIRMANN FDO.INVEST.IMOB.;;;;;INCORPORA?åES BIRMANN;ICVM 400 (com registro);Registrada;Concedido;;1997-09-02;;;1998-03-11;;1998-09-11;;;;;;;;30000.0;0.0;30000.0;1000.0;30000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1997-3263;CVM/SRE/RFI/1998/015;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.INVEST.IMOB.AREA NUCLEO DO TELEPORTO /RJ;;;;;FDO INV. IMOB.DA µREA NUCL.DO;ICVM 400 (com registro);Registrada;Concedido;;1997-10-27;;;1998-05-25;;1998-11-25;;;;;;;;184513.0;0.0;184513.0;1000.0;184513000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1997-3310;CVM/SRE/RFI/1998/002;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FUNDO DE INVEST. IMOBILIARIO W3;;;;;FUNDO INVESTIMENTO IMOBILIµRIO;ICVM 400 (com registro);Registrada;Concedido;;1997-10-31;;;1998-02-03;;1998-08-03;;;;;;;;24500.0;0.0;24500.0;100.0;2450000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1997-3422;CVM/SRE/RFI/1998/005;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.INVEST.IMOB.GUZERA;;;;;FUNDO INVESTIMENTO IMOB. GUZER;ICVM 400 (com registro);Registrada;Concedido;;1997-11-12;;;1998-02-18;;1998-08-18;;;;;;;;25000.0;0.0;25000.0;1000.0;25000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1997-3773;CVM/SRE/RFI/1998/003;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.INVEST.IMOB.IGARATA;;;;;FUNDO INVEST. IMOBIL. IGARATµ;ICVM 400 (com registro);Registrada;Concedido;;1997-12-05;;;1998-02-13;;1998-08-13;;;;;;;;15000.0;0.0;15000.0;100.0;1500000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1997-3774;CVM/SRE/RFI/1998/004;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.INVEST.IMOB.ITAJUI;;;;;FUNDO INVEST. IMOBIL. ITAJUÖ;ICVM 400 (com registro);Registrada;Concedido;;1997-12-05;;;1998-02-13;;1998-08-13;;;;;;;;14000.0;0.0;14000.0;100.0;1400000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1997-3811;CVM/SRE/RFI/1998/013;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.BRAZIL REALTY DE INVEST.IMOB.;;;;;FUNDO BRAZIL REALTY DE INVEST.;ICVM 400 (com registro);Registrada;Concedido;;1997-12-11;;;1998-05-08;;1998-09-03;;;;;ESCRITURAL;1998-05-08;;13700000.0;0.0;13700000.0;1.0;13700000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1997-3940;CVM/SRE/RFI/1998/006;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FUNDO JK DE INVESTIMENTO IMOBILIARIO;;;;;FUNDO JK DE INVEST. IMOB.;ICVM 400 (com registro);Registrada;Concedido;;1997-12-23;;;1998-03-06;;1998-09-06;;;;;;;;3546783.0;0.0;3546783.0;0.98;3500000.93;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-1526;CVM/SRE/RFI/1998/024;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;LAGRA FDO.INVEST.IMOB.;;;;;LAGRA FUNDO INVESTIMENTO IMOBI;ICVM 400 (com registro);Registrada;Concedido;;1998-04-09;;;1998-10-08;;;;;;;;;;2462.0;0.0;2462.0;1218.88;3000882.56;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-1615;CVM/SRE/RFI/1998/017;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.TAL DE INVEST.IMOB.;;;;;FUNDO TAL DE INVEST. IMOBILIAR;ICVM 400 (com registro);Registrada;Concedido;;1998-04-17;;;1998-06-22;;;;;;;;;;4305712.0;0.0;4305712.0;1.0;4306960.84;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
