codigo;emissor;indexador;taxa;duration;vencimento;tipo;_fonte;_coletado_em;_data_referencia
AAJR11;FILADELFIA SECURITIZADORA S/A;DI;DI + 3,5000%;;25/06/2029;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
AALM12;AURA ALMAS MINERACAO S.A.;DI;DI + 1,6000%;587 dias;02/10/2030;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
AALR13;ALLIANCA SAUDE E PARTICIPACOES S.A.;DI;DI + 2,7500%;;04/10/2027;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
AALR32;ALLIANCA SAUDE E PARTICIPACOES S.A.;DI;DI + 3,0000%;;15/07/2025;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
AARJA2;AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A;DI;DI + 3,3500%;;23/02/2029;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABFR12 Lei 12.431;ALCOESTE BIOENERGIA FERNANDOPOLIS S A;IPCA;IPCA + 8,1869%;;15/12/2027;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABFR14;ALCOESTE BIOENERGIA FERNANDOPOLIS S A;DI;DI + 2,6500%;;15/10/2031;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABFR24 Lei 12.431;ALCOESTE BIOENERGIA FERNANDOPOLIS S A;IPCA;IPCA + 11,0989%;;15/10/2031;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABIO11;ALBIOMA SOLAR PARTICIPACOES S.A.;IPCA;IPCA + 10,1941%;;15/12/2042;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABIO21 Lei 12.431;ALBIOMA SOLAR PARTICIPACOES S.A.;IPCA;IPCA + 8,9788%;;15/12/2042;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABPA11;AMBIENTAL PARTICIPACOES S.A.;DI;DI + 2,5000%;;15/07/2025;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABRK11;BRK AMBIENTAL - MAUA S.A.;DI;DI + 2,4000%;;15/12/2038;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
ABSP12;AGUAS DE BOMBINHAS SANEAMENTO SPE S.A.;DI;DI + 1,9500%;100 dias;15/10/2026;Debenture;anbima;2026-05-26T18:56:13.182676;2026-05-26
