codigo;emissor;indexador;taxa;duration;vencimento;tipo;_fonte;_coletado_em;_data_referencia
13F0056986;TSC JARAGUÁ DO SUL GARDEN SHOPPING S.A.;IPCA + 6,0000%;IPCA + 6,0000%;;05/12/2035;CRI;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA019001E7;KLABIN S.A.;IPCA + 4,5081%;IPCA + 4,5081%;433,28;15/03/2029;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA019003JY;KLABIN S.A.;IPCA + 3,5000%;IPCA + 3,5000%;480,10;15/06/2029;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA019003V2;RAÍZEN ENERGIA S.A.;100,0000% DI;100,0000% DI;;16/07/2029;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA019003V3;RAÍZEN ENERGIA S.A.;IPCA + 3,6020%;IPCA + 3,6020%;;16/07/2029;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
19H0262186;REDE D'OR SÃO LUIZ S.A.;IPCA + 3,4465%;IPCA + 3,4465%;;15/08/2029;CRI;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA020001US;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;IPCA + 5,7000%;IPCA + 5,7000%;128,29;15/06/2027;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA020001P7;RAÍZEN ENERGIA S.A.;IPCA + 5,4000%;IPCA + 5,4000%;;15/06/2027;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA020001P8;RAÍZEN ENERGIA S.A.;IPCA + 5,8000%;IPCA + 5,8000%;;17/06/2030;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
CRA020002GZ;BRF S.A.;IPCA + 5,3000%;IPCA + 5,3000%;276,33;15/07/2027;CRA;anbima_cri_cra;2026-05-26T18:57:06.715434;2026-05-26
