codigo;emissor;indexador;taxa;duration;vencimento;tipo;_fonte;_coletado_em;_data_referencia
AAJR11;FILADELFIA SECURITIZADORA S/A;DI;DI + 3,5000%;;25/06/2029;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
AALM12;AURA ALMAS MINERACAO S.A.;DI;DI + 1,6000%;587 dias;02/10/2030;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
AALR13;ALLIANCA SAUDE E PARTICIPACOES S.A.;DI;DI + 2,7500%;;04/10/2027;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
AALR32;ALLIANCA SAUDE E PARTICIPACOES S.A.;DI;DI + 3,0000%;;15/07/2025;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
AARJA2;AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A;DI;DI + 3,3500%;;23/02/2029;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABFR12 Lei 12.431;ALCOESTE BIOENERGIA FERNANDOPOLIS S A;IPCA;IPCA + 8,1869%;;15/12/2027;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABFR14;ALCOESTE BIOENERGIA FERNANDOPOLIS S A;DI;DI + 2,6500%;;15/10/2031;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABFR24 Lei 12.431;ALCOESTE BIOENERGIA FERNANDOPOLIS S A;IPCA;IPCA + 11,0989%;;15/10/2031;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABIO11;ALBIOMA SOLAR PARTICIPACOES S.A.;IPCA;IPCA + 10,1941%;;15/12/2042;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABIO21 Lei 12.431;ALBIOMA SOLAR PARTICIPACOES S.A.;IPCA;IPCA + 8,9788%;;15/12/2042;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABPA11;AMBIENTAL PARTICIPACOES S.A.;DI;DI + 2,5000%;;15/07/2025;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABRK11;BRK AMBIENTAL - MAUA S.A.;DI;DI + 2,4000%;;15/12/2038;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
ABSP12;AGUAS DE BOMBINHAS SANEAMENTO SPE S.A.;DI;DI + 1,9500%;101 dias;15/10/2026;Debenture;anbima;2026-05-25T08:43:23.267631;2026-05-25
13F0056986;TSC JARAGUÁ DO SUL GARDEN SHOPPING S.A.;IPCA + 6,0000%;IPCA + 6,0000%;;05/12/2035;CRI;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA019001E7;KLABIN S.A.;IPCA + 4,5081%;IPCA + 4,5081%;434,19;15/03/2029;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA019003JY;KLABIN S.A.;IPCA + 3,5000%;IPCA + 3,5000%;480,99;15/06/2029;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA019003V2;RAÍZEN ENERGIA S.A.;100,0000% DI;100,0000% DI;;16/07/2029;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA019003V3;RAÍZEN ENERGIA S.A.;IPCA + 3,6020%;IPCA + 3,6020%;;16/07/2029;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
19H0262186;REDE D'OR SÃO LUIZ S.A.;IPCA + 3,4465%;IPCA + 3,4465%;;15/08/2029;CRI;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA020001US;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.;IPCA + 5,7000%;IPCA + 5,7000%;129,38;15/06/2027;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA020001P7;RAÍZEN ENERGIA S.A.;IPCA + 5,4000%;IPCA + 5,4000%;;15/06/2027;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA020001P8;RAÍZEN ENERGIA S.A.;IPCA + 5,8000%;IPCA + 5,8000%;;17/06/2030;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
CRA020002GZ;BRF S.A.;IPCA + 5,3000%;IPCA + 5,3000%;277,32;15/07/2027;CRA;anbima_cri_cra;2026-05-25T08:44:15.875604;2026-05-25
